Own_Rating_ID ,Own_Rating
501,Positive
502,Positive
503,Positive
504,Positive
505,Neutral
506,Positive
507,Positive
508,Positive
509,Negative
510,Positive
511,Positive
512,Positive
513,Positive
514,Negative
515,Positive
516,Positive
517,Positive
518,Positive
519,Positive
520,Positive
521,Positive
522,Positive
523,Positive
524,Negative
525,Positive
526,Positive
527,Positive
528,Negative
529,Positive
530,Positive
531,Positive
532,Negative
533,Positive
534,Neutral
535,Positive
536,Positive
537,Positive
538,Positive
539,Positive
540,Positive
541,Negative
542,Positive
543,Positive
544,Positive
545,Positive
546,Positive
547,Positive
548,Positive
549,Positive
550,Positive
551,Positive
552,Positive
553,Neutral
554,Neutral
555,Positive
556,Positive
557,Positive
558,Positive
559,Positive
560,Negative
561,Negative
562,Positive
563,Neutral
564,Neutral
565,Positive
566,Positive
567,Positive
568,Positive
569,Positive
570,Negative
571,Positive
572,Positive
573,Positive
574,Neutral
575,Positive
576,Positive
577,Positive
578,Positive
579,Positive
580,Negative
581,Negative
582,Neutral
583,Positive
584,Neutral
585,Positive
586,Negative
587,Positive
588,Positive
589,Positive
590,Positive
591,Negative
592,Negative
593,Positive
594,Positive
595,Negative
596,Positive
597,Positive
598,Positive
599,Neutral
701,Negative
702,Positive
703,Positive
704,Positive
705,Positive
706,Negative
707,Positive
708,Positive
709,Positive
710,Positive
711,Positive
712,Positive
713,Negative
714,Positive
715,Positive
716,Positive
717,Positive
718,Positive
719,Neutral
720,Positive
721,Positive
722,Positive
723,Negative
724,Positive
725,Neutral
726,Positive
727,Positive
728,Neutral
729,Positive
730,Negative
731,Positive
732,Neutral
733,Positive
734,Positive
735,Negative
736,Negative
737,Negative
738,Positive
739,Positive
740,Positive
741,Positive
742,Negative
743,Positive
744,Negative
745,Positive
746,Positive
747,Positive
748,Positive
749,Positive
750,Positive
751,Positive
752,Negative
753,Positive
754,Positive
755,Positive
756,Positive
757,Positive
758,Positive
759,Negative
760,Positive
761,Negative
762,Positive
763,Positive
764,Positive
765,Negative
766,Positive
767,Positive
768,Negative
769,Positive
770,Positive
771,Neutral
772,Positive
773,Positive
774,Negative
775,Positive
776,Negative
777,Positive
778,Positive
779,Positive
780,Positive
781,Positive
782,Negative
783,Positive
784,Positive
785,Positive
786,Positive
787,Positive
788,Positive
789,Positive
790,Positive
791,Positive
792,Positive
793,Positive
794,Positive
795,Positive
796,Positive
797,Negative
798,Positive
799,Negative
800,Positive
901,Positive
902,Positive
903,Positive
904,Positive
905,Negative
906,Positive
907,Positive
908,Positive
909,Positive
910,Negative
911,Positive
912,Negative
913,Positive
914,Positive
915,Positive
916,Positive
917,Positive
918,Positive
919,Positive
920,Positive
921,Neutral
922,Positive
923,Negative
924,Positive
925,Positive
926,Positive
927,Positive
928,Positive
929,Negative
930,Negative
931,Positive
932,Positive
933,Positive
934,Positive
935,Positive
936,Positive
937,Positive
938,Positive
939,Positive
940,Positive
941,Positive
942,Positive
943,Negative
944,Positive
945,Positive
946,Positive
947,Positive
948,Negative
949,Positive
950,Positive
951,Positive
952,Positive
953,Positive
954,Negative
955,Positive
956,Positive
957,Positive
958,Negative
959,Positive
960,Positive
961,Neutral
962,Positive
963,Positive
964,Positive
965,Positive
966,Positive
967,Positive
968,Positive
969,Negative
970,Positive
971,Negative
972,Positive
973,Negative
974,Positive
975,Positive
976,Neutral
977,Positive
978,Positive
979,Positive
980,Positive
981,Neutral
982,Positive
983,Positive
984,Positive
985,Negative
986,Negative
987,Neutral
988,Positive
989,Positive
990,Positive
991,Positive
992,Positive
993,Positive
994,Positive
995,Positive
996,Positive
997,Negative
998,Negative
999,Positive
1000,Positive
1001,Positive
1002,Positive
1003,Positive
1004,Positive
1005,Positive
1006,Positive
1007,Neutral
1008,Positive
1009,Positive
1010,Positive
1011,Positive
1012,Negative
1013,Positive
1014,Positive
1015,Neutral
1016,Positive
1017,Positive
1018,Neutral
1019,Negative
1020,Negative
1021,Positive
1022,Positive
1023,Positive
1024,Positive
1025,Positive
1026,Positive
1027,Positive
1028,Positive
1029,Positive
1030,Positive
1031,Positive
1032,Positive
1033,Positive
1034,Negative
1035,Positive
1036,Positive
1037,Positive
1038,Negative
1039,Negative
1040,Positive
1041,Positive
1042,Positive
1043,Negative
1044,Positive
1045,Positive
1046,Positive
1047,Positive
1048,Positive
1049,Positive
1050,Positive
1051,Positive
1052,Positive
1053,Positive
1054,Negative
1055,Positive
1056,Negative
1057,Negative
1058,Positive
1059,Positive
1060,Negative
1061,Neutral
1062,Positive
1063,Positive
1064,Positive
1065,Positive
1066,Positive
1067,Positive
1068,Positive
1069,Positive
1070,Positive
1071,Positive
1072,Neutral
1073,Positive
1074,Positive
1075,Positive
1076,Positive
1077,Positive
1078,Positive
1079,Neutral
1080,Positive
1081,Positive
1082,Positive
1083,Neutral
1084,Neutral
1085,Positive
1086,Neutral
1087,Positive
1088,Positive
1089,Positive
1090,Positive
1091,Positive
1092,Positive
1093,Positive
1094,Positive
1095,Positive
1096,Negative
1097,Positive
1098,Positive
1099,Positive
1100,Positive
1101,Positive
1102,Positive
1103,Positive
1104,Positive
1105,Positive
1106,Positive
1107,Positive
1108,Positive
1109,Negative
1110,Positive
1111,Positive
1112,Positive
1113,Positive
1114,Positive
1115,Positive
1116,Positive
1117,Positive
1118,Positive
1119,Positive
1120,Positive
1121,Neutral
1122,Positive
1123,Positive
1124,Positive
1125,Positive
1126,Positive
1127,Positive
1128,Positive
1129,Positive
1130,Positive
1131,Neutral
1132,Positive
1133,Positive
1134,Positive
1135,Positive
1136,Positive
1137,Negative
1138,Positive
1139,Positive
1140,Positive
1141,Negative
1142,Positive
1143,Positive
1144,Neutral
1145,Positive
1146,Positive
1147,Positive
1148,Positive
1149,Positive
1150,Positive
1151,Positive
1152,Positive
1153,Positive
1154,Positive
1155,Positive
1156,Positive
1157,Positive
1158,Neutral
1159,Positive
1160,Positive
1161,Positive
1162,Positive
1163,Positive
1164,Positive
1165,Positive
1166,Negative
1167,Positive
1168,Positive
1169,Positive
1170,Positive
1171,Positive
1172,Positive
1173,Positive
1174,Positive
1175,Positive
1176,Positive
1177,Positive
1178,Positive
1179,Positive
1180,Positive
1181,Positive
1182,Positive
1183,Positive
1184,Neutral
1185,Negative
1186,Positive
1187,Neutral
1188,Neutral
1189,Positive
1190,Positive
1191,Positive
1192,Positive
1193,Positive
1194,Positive
1195,Negative
1196,Neutral
1197,Positive
1198,Positive
1199,Positive
1200,Positive
1201,Positive
1202,Positive
1203,Positive
1204,Positive
1205,Neutral
1206,Negative
1207,Positive
1208,Positive
1209,Positive
1210,Positive
1211,Positive
1212,Positive
1213,Positive
1214,Positive
1215,Positive
1216,Positive
1217,Positive
1218,Positive
1219,Positive
1220,Neutral
1221,Negative
1222,Positive
1223,Positive
1224,Positive
1225,Positive
1226,Positive
1227,Positive
1228,Positive
1229,Positive
1230,Negative
1231,Positive
1232,Positive
1233,Positive
1234,Positive
1235,Negative
1236,Positive
1237,Positive
1238,Positive
1239,Negative
1240,Positive
1241,Positive
1242,Positive
1243,Positive
1244,Positive
1245,Positive
1246,Positive
1247,Negative
1248,Positive
1249,Neutral
1250,Positive
1251,Negative
1252,Positive
1253,Positive
1254,Positive
1255,Positive
1256,Positive
1257,Neutral
1258,Neutral
1259,Neutral
1260,Negative
1261,Positive
1262,Positive
1263,Positive
1264,Positive
1265,Positive
1266,Positive
1267,Positive
1268,Positive
1269,Negative
1270,Positive
1271,Positive
1272,Positive
1273,Neutral
1274,Positive
1275,Positive
1276,Positive
1277,Positive
1278,Negative
1279,Negative
1280,Neutral
1281,Positive
1282,Neutral
1283,Positive
1284,Positive
1285,Positive
1286,Negative
1287,Negative
1288,Positive
1289,Positive
1290,Neutral
1291,Positive
1292,Positive
1293,Positive
1294,Positive
1295,Positive
1296,Positive
1297,Positive
1298,Negative
1299,Negative
1300,Positive
1301,Negative
1302,Positive
1303,Positive
1304,Positive
1305,Positive
1306,Positive
1307,Positive
1308,Positive
1309,Positive
1310,Positive
1311,Positive
1312,Positive
1313,Positive
1314,Positive
1315,Positive
1316,Positive
1317,Positive
1318,Positive
1319,Positive
1320,Negative
1321,Positive
1322,Positive
1323,Positive
1324,Positive
1325,Positive
1326,Positive
1327,Negative
1328,Positive
1329,Positive
1330,Positive
1331,Negative
1332,Positive
1333,Positive
1334,Negative
1335,Positive
1336,Negative
1337,Positive
1338,Positive
1339,Positive
1340,Positive
1341,Positive
1342,Negative
1343,Negative
1344,Negative
1345,Neutral
1346,Positive
1347,Positive
1348,Positive
1349,Positive
1350,Positive
1351,Positive
1352,Neutral
1353,Positive
1354,Positive
1355,Positive
1356,Positive
1357,Positive
1358,Positive
1359,Positive
1360,Positive
1361,Positive
1362,Positive
1363,Positive
1364,Positive
1365,Positive
1366,Negative
1367,Positive
1368,Positive
1369,Positive
1370,Positive
1371,Positive
1372,Positive
1373,Positive
1374,Neutral
1375,Negative
1376,Positive
1377,Positive
1378,Positive
1379,Positive
1380,Negative
1381,Positive
1382,Positive
1383,Positive
1384,Positive
1385,Positive
1386,Positive
1387,Positive
1388,Positive
1389,Positive
1390,Positive
1391,Positive
1392,Neutral
1393,Negative
1394,Positive
1395,Positive
1396,Neutral
1397,Positive
1398,Positive
1399,Negative
1400,Positive
1401,Positive
1402,Positive
1403,Positive
1404,Positive
1405,Positive
1406,Positive
1407,Positive
1408,Neutral
1409,Positive
1410,Positive
1411,Negative
1412,Negative
1413,Positive
1414,Positive
1415,Positive
1416,Positive
1417,Positive
1418,Positive
1419,Positive
1420,Negative
1421,Positive
1422,Positive
1423,Negative
1424,Positive
1425,Negative
1426,Negative
1427,Negative
1428,Positive
1429,Positive
1430,Neutral
1431,Positive
1432,Positive
1433,Positive
1434,Positive
1435,Positive
1436,Positive
1437,Positive
1438,Positive
1439,Positive
1440,Positive
1441,Positive
1442,Positive
1443,Positive
1444,Positive
1445,Neutral
1446,Positive
1447,Positive
1448,Neutral
1449,Positive
1450,Positive
1451,Positive
1452,Positive
1453,Negative
1454,Positive
1455,Positive
1456,Positive
1457,Positive
1458,Positive
1459,Positive
1460,Positive
1461,Positive
1462,Positive
1463,Neutral
1464,Positive
1465,Positive
1466,Positive
1467,Positive
1468,Negative
1469,Negative
1470,Positive
1471,Positive
1472,Positive
1473,Positive
1474,Positive
1475,Negative
1476,Positive
1477,Positive
1478,Negative
1479,Positive
1480,Positive
1481,Positive
1482,Neutral
1483,Positive
1484,Positive
1485,Positive
1486,Positive
1487,Positive
1488,Positive
1489,Positive
1490,Positive
1491,Positive
1492,Neutral
1493,Positive
1494,Positive
1495,Positive
1496,Positive
1497,Positive
1498,Positive
1499,Positive
1500,Negative
1501,Positive
1502,Positive
1503,Positive
1504,Negative
1505,Positive
1506,Neutral
1507,Positive
1508,Negative
1509,Positive
1510,Negative
1511,Positive
1512,Positive
1513,Positive
1514,Positive
1515,Negative
1516,Positive
1517,Neutral
1518,Positive
1519,Positive
1520,Positive
1521,Negative
1522,Positive
1523,Positive
1524,Positive
1525,Positive
1526,Positive
1527,Positive
1528,Positive
1529,Positive
1530,Positive
1531,Positive
1532,Positive
1533,Positive
1534,Positive
1535,Positive
1536,Positive
1537,Positive
1538,Positive
1539,Positive
1540,Positive
1541,Positive
1542,Positive
1543,Positive
1544,Positive
1545,Negative
1546,Positive
1547,Positive
1548,Positive
1549,Positive
1550,Positive
1551,Positive
1552,Positive
1553,Positive
1554,Positive
1555,Positive
1556,Positive
1557,Negative
1558,Negative
1559,Negative
1560,Positive
1561,Positive
1562,Positive
1563,Positive
1564,Neutral
1565,Negative
1566,Positive
1567,Positive
1568,Positive
1569,Positive
1570,Negative
1571,Positive
1572,Positive
1573,Positive
1574,Positive
1575,Positive
1576,Positive
1577,Positive
1578,Positive
1579,Positive
1580,Positive
1581,Positive
1582,Negative
1583,Positive
1584,Positive
1585,Positive
1586,Negative
1587,Positive
1588,Negative
1589,Positive
1590,Positive
1591,Positive
1592,Neutral
1593,Negative
1594,Negative
1595,Positive
1596,Negative
1597,Positive
1598,Positive
1599,Neutral
1600,Positive
1601,Positive
1602,Positive
1603,Positive
1604,Negative
1605,Positive
1606,Negative
1607,Positive
1608,Negative
1609,Neutral
1610,Positive
1611,Neutral
1612,Positive
1613,Negative
1614,Negative
1615,Positive
1616,Negative
1617,Negative
1618,Positive
1619,Positive
1620,Positive
1621,Positive
1622,Positive
1623,Negative
1624,Positive
1625,Positive
1626,Positive
1627,Positive
1628,Positive
1629,Positive
1630,Positive
1631,Positive
1632,Positive
1633,Positive
1634,Positive
1635,Positive
1636,Positive
1637,Negative
1638,Positive
1639,Positive
1640,Positive
1641,Positive
1642,Positive
1643,Positive
1644,Positive
1645,Positive
1646,Negative
1647,Neutral
1648,Negative
1649,Positive
1650,Positive
1651,Positive
1652,Negative
1653,Positive
1654,Positive
1655,Positive
1656,Positive
1657,Positive
1658,Negative
1659,Positive
1660,Positive
1661,Positive
1662,Positive
1663,Negative
1664,Positive
1665,Positive
1666,Positive
1667,Positive
1668,Positive
1669,Positive
1670,Positive
1671,Negative
1672,Positive
1673,Neutral
1674,Neutral
1675,Positive
1676,Negative
1677,Positive
1678,Negative
1679,Positive
1680,Positive
1681,Positive
1682,Positive
1683,Negative
1684,Positive
1685,Positive
1686,Neutral
1687,Positive
1688,Positive
1689,Positive
1690,Positive
1691,Positive
1692,Negative
1693,Positive
1694,Negative
1695,Positive
1696,Negative
1697,Positive
1698,Positive
1699,Positive
1700,Neutral
1701,Positive
